[WebServer] (node:72504) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
[WebServer] (Use `node --trace-warnings ...` to show where the warning was created)

Running 4 tests using 1 worker

(node:72505) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
[f1577-3-sweep] tickBefore=35 tickDelta=1 driftAbs=0 gapClosed=0 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=2 driftAbs=0 gapClosed=0 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=3 driftAbs=0 gapClosed=0 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=4 driftAbs=0.023345235059857444 gapClosed=0.022615033843742083 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=5 driftAbs=0.023345235059857444 gapClosed=0.022615033843742083 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=6 driftAbs=0.023345235059857444 gapClosed=0.022615033843742083 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=7 driftAbs=0.023345235059857444 gapClosed=0.022615033843742083 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=8 driftAbs=0.046754678910244166 gapClosed=0.045619633566095885 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=9 driftAbs=0.046754678910244166 gapClosed=0.045619633566095885 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=10 driftAbs=0.046754678910244166 gapClosed=0.045619633566095885 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=11 driftAbs=0.046754678910244166 gapClosed=0.045619633566095885 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=12 driftAbs=0.06965629906907234 gapClosed=0.06853375841735243 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=13 driftAbs=0.06965629906907234 gapClosed=0.06853375841735243 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=14 driftAbs=0.06965629906907234 gapClosed=0.06853375841735243 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=15 driftAbs=0.06965629906907234 gapClosed=0.06853375841735243 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=16 driftAbs=0.09261749294814689 gapClosed=0.09144729032886012 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=17 driftAbs=0.09261749294814689 gapClosed=0.09144729032886012 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=18 driftAbs=0.09261749294814689 gapClosed=0.09144729032886012 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=19 driftAbs=0.09261749294814689 gapClosed=0.09144729032886012 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=20 driftAbs=0.11580155439371316 gapClosed=0.11475466112404575 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=21 driftAbs=0.11580155439371316 gapClosed=0.11475466112404575 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=22 driftAbs=0.11580155439371316 gapClosed=0.11475466112404575 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=23 driftAbs=0.11580155439371316 gapClosed=0.11475466112404575 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=24 driftAbs=0.1390323703315164 gapClosed=0.1380619394581739 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=25 driftAbs=0.1390323703315164 gapClosed=0.1380619394581739 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=26 driftAbs=0.1390323703315164 gapClosed=0.1380619394581739 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=27 driftAbs=0.1617188919081506 gapClosed=0.16088736369508183 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=28 driftAbs=0.1617188919081506 gapClosed=0.16088736369508183 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=29 driftAbs=0.1617188919081506 gapClosed=0.16088736369508183 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=30 driftAbs=0.1617188919081506 gapClosed=0.16088736369508183 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=31 driftAbs=0.18471599822430118 gapClosed=0.18410714643849602 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=32 driftAbs=0.18471599822430118 gapClosed=0.18410714643849602 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=33 driftAbs=0.18471599822430118 gapClosed=0.18410714643849602 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=34 driftAbs=0.18471599822430118 gapClosed=0.18410714643849602 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=35 driftAbs=0.20831226560142804 gapClosed=0.20780875464472537 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=36 driftAbs=0.20831226560142804 gapClosed=0.20780875464472537 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=37 driftAbs=0.20831226560142804 gapClosed=0.20780875464472537 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=38 driftAbs=0.23139792566053882 gapClosed=0.23102823293494268 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=39 driftAbs=0.23139792566053882 gapClosed=0.23102823293494268 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=40 driftAbs=0.23139792566053882 gapClosed=0.23102823293494268 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=41 driftAbs=0.23139792566053882 gapClosed=0.23102823293494268 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=42 driftAbs=0.2539940944195356 gapClosed=0.2537651427902201 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=43 driftAbs=0.2539940944195356 gapClosed=0.2537651427902201 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=44 driftAbs=0.2539940944195356 gapClosed=0.2537651427902201 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=45 driftAbs=0.2539940944195356 gapClosed=0.2537651427902201 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=46 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=47 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=48 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=49 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=50 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=51 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=52 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=53 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=54 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=55 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=56 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=57 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=58 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=59 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=60 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=61 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=62 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=63 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=64 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=65 driftAbs=0.3455835644240049 gapClosed=0.3455819618220861 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=66 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=67 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=68 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=69 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=70 driftAbs=0.3691950703896246 gapClosed=0.36919083655504714 timeBefore=3.0666666666666647
  ✓  1 [desktop-chrome] › e2e/f1575-1-drift-tick-budget.spec.ts:61:3 › maps denied-receipt drift at fixed start phase P=35 (2.1s)
[f1577-3-sweep] tickBefore=39 tickDelta=1 driftAbs=0 gapClosed=0 timeBefore=3.599999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=2 driftAbs=0 gapClosed=0 timeBefore=3.599999999999998
